GEOID,NAME,variable,estimate,moe
01105,"Perry County, Alabama",B19013_001,23447,2593
01107,"Pickens County, Alabama",B19013_001,39848,3352
01109,"Pike County, Alabama",B19013_001,37446,2508
01111,"Randolph County, Alabama",B19013_001,43395,3406
01113,"Russell County, Alabama",B19013_001,42443,2725
01115,"St. Clair County, Alabama",B19013_001,58308,3222
01117,"Shelby County, Alabama",B19013_001,77799,2248
01119,"Sumter County, Alabama",B19013_001,24320,1881
01121,"Talladega County, Alabama",B19013_001,41325,2101
01123,"Tallapoosa County, Alabama",B19013_001,45828,3476
01125,"Tuscaloosa County, Alabama",B19013_001,53326,1173
01127,"Walker County, Alabama",B19013_001,43629,1841
01129,"Washington County, Alabama",B19013_001,41370,3437
01131,"Wilcox County, Alabama",B19013_001,31014,3634
01133,"Winston County, Alabama",B19013_001,35788,3659
02013,"Aleutians East Borough, Alaska",B19013_001,69250,5289
02016,"Aleutians West Census Area, Alaska",B19013_001,87466,3206
02020,"Anchorage Municipality, Alaska",B19013_001,84928,1508
02050,"Bethel Census Area, Alaska",B19013_001,53553,3178
02060,"Bristol Bay Borough, Alaska",B19013_001,79808,8316
02068,"Denali Borough, Alaska",B19013_001,81719,13581
02070,"Dillingham Census Area, Alaska",B19013_001,56898,5323
02090,"Fairbanks North Star Borough, Alaska",B19013_001,76992,3115
02100,"Haines Borough, Alaska",B19013_001,58059,11237
02105,"Hoonah-Angoon Census Area, Alaska",B19013_001,59803,4266
02110,"Juneau City and Borough, Alaska",B19013_001,88390,4059
02122,"Kenai Peninsula Borough, Alaska",B19013_001,66064,2441
02130,"Ketchikan Gateway Borough, Alaska",B19013_001,72728,3182
02150,"Kodiak Island Borough, Alaska",B19013_001,85839,10160
02158,"Kusilvak Census Area, Alaska",B19013_001,36754,4042
02164,"Lake and Peninsula Borough, Alaska",B19013_001,44135,3686
02170,"Matanuska-Susitna Borough, Alaska",B19013_001,75493,1614
02180,"Nome Census Area, Alaska",B19013_001,61048,2210
02185,"North Slope Borough, Alaska",B19013_001,79306,10108
02188,"Northwest Arctic Borough, Alaska",B19013_001,60906,5036
02195,"Petersburg Borough, Alaska",B19013_001,69948,7258
02198,"Prince of Wales-Hyder Census Area, Alaska",B19013_001,52379,3924
02220,"Sitka City and Borough, Alaska",B19013_001,73682,3705
02230,"Skagway Municipality, Alaska",B19013_001,73906,6082
02240,"Southeast Fairbanks Census Area, Alaska",B19013_001,70056,7473
02261,"Valdez-Cordova Census Area, Alaska",B19013_001,79867,10958
02275,"Wrangell City and Borough, Alaska",B19013_001,53894,6028
02282,"Yakutat City and Borough, Alaska",B19013_001,71607,8538
02290,"Yukon-Koyukuk Census Area, Alaska",B19013_001,41413,2359
04001,"Apache County, Arizona",B19013_001,32508,1723
04003,"Cochise County, Arizona",B19013_001,49260,1858
04005,"Coconino County, Arizona",B19013_001,59460,1953
04007,"Gila County, Arizona",B19013_001,43524,2214
04009,"Graham County, Arizona",B19013_001,51353,2121
04011,"Greenlee County, Arizona",B19013_001,63473,2899
04012,"La Paz County, Arizona",B19013_001,34643,4945
04013,"Maricopa County, Arizona",B19013_001,64468,326
04015,"Mohave County, Arizona",B19013_001,45587,1297
04017,"Navajo County, Arizona",B19013_001,40067,1628
04019,"Pima County, Arizona",B19013_001,53379,628
04021,"Pinal County, Arizona",B19013_001,58174,930
04023,"Santa Cruz County, Arizona",B19013_001,41259,2645
04025,"Yavapai County, Arizona",B19013_001,52451,1376
04027,"Yuma County, Arizona",B19013_001,45243,1279
05001,"Arkansas County, Arkansas",B19013_001,46696,2210
05003,"Ashley County, Arkansas",B19013_001,44744,4484
05005,"Baxter County, Arkansas",B19013_001,42260,2095
05007,"Benton County, Arkansas",B19013_001,66362,1292
05009,"Boone County, Arkansas",B19013_001,45374,1907
05011,"Bradley County, Arkansas",B19013_001,43184,4132
05013,"Calhoun County, Arkansas",B19013_001,46417,6659
05015,"Carroll County, Arkansas",B19013_001,46110,4165
05017,"Chicot County, Arkansas",B19013_001,34147,2071
05019,"Clark County, Arkansas",B19013_001,41620,3924
05021,"Clay County, Arkansas",B19013_001,37233,2550
05023,"Cleburne County, Arkansas",B19013_001,44483,2847
05025,"Cleveland County, Arkansas",B19013_001,46684,4507
05027,"Columbia County, Arkansas",B19013_001,36193,2784
05029,"Conway County, Arkansas",B19013_001,42802,3656
05031,"Craighead County, Arkansas",B19013_001,47286,2063
05033,"Crawford County, Arkansas",B19013_001,46828,2004
05035,"Crittenden County, Arkansas",B19013_001,40161,2116
05037,"Cross County, Arkansas",B19013_001,46787,4568
05039,"Dallas County, Arkansas",B19013_001,38072,6309
05041,"Desha County, Arkansas",B19013_001,31893,3470
05043,"Drew County, Arkansas",B19013_001,46997,6793
05045,"Faulkner County, Arkansas",B19013_001,52827,2465
05047,"Franklin County, Arkansas",B19013_001,38923,2340
05049,"Fulton County, Arkansas",B19013_001,35405,3688
05051,"Garland County, Arkansas",B19013_001,44777,1753
05053,"Grant County, Arkansas",B19013_001,55388,2924
05055,"Greene County, Arkansas",B19013_001,47056,2598
05057,"Hempstead County, Arkansas",B19013_001,42860,5744
05059,"Hot Spring County, Arkansas",B19013_001,43889,2791
05061,"Howard County, Arkansas",B19013_001,36059,4625
05063,"Independence County, Arkansas",B19013_001,44319,2382
05065,"Izard County, Arkansas",B19013_001,42876,2857
05067,"Jackson County, Arkansas",B19013_001,34109,2743
05069,"Jefferson County, Arkansas",B19013_001,40726,2231
05071,"Johnson County, Arkansas",B19013_001,38511,2440
05073,"Lafayette County, Arkansas",B19013_001,32397,2886
05075,"Lawrence County, Arkansas",B19013_001,39993,2451
05077,"Lee County, Arkansas",B19013_001,29681,4864
05079,"Lincoln County, Arkansas",B19013_001,46596,7184
05081,"Little River County, Arkansas",B19013_001,45113,4547
05083,"Logan County, Arkansas",B19013_001,41466,1679
05085,"Lonoke County, Arkansas",B19013_001,59094,2859
05087,"Madison County, Arkansas",B19013_001,41682,4925
05089,"Marion County, Arkansas",B19013_001,36719,3023
05091,"Miller County, Arkansas",B19013_001,43371,3494
05093,"Mississippi County, Arkansas",B19013_001,39962,3007
05095,"Monroe County, Arkansas",B19013_001,38468,6974
05097,"Montgomery County, Arkansas",B19013_001,35741,5112
05099,"Nevada County, Arkansas",B19013_001,38042,5624
05101,"Newton County, Arkansas",B19013_001,38082,5583
05103,"Ouachita County, Arkansas",B19013_001,35425,3518
05105,"Perry County, Arkansas",B19013_001,48667,5666
05107,"Phillips County, Arkansas",B19013_001,29320,3264
05109,"Pike County, Arkansas",B19013_001,40401,3771
05111,"Poinsett County, Arkansas",B19013_001,40921,2259
